date,rate
2007-05-01,1.110500
2007-05-02,1.108700
2007-05-03,1.106600
2007-05-04,1.107500
2007-05-07,1.101800
2007-05-08,1.104700
2007-05-09,1.105500
2007-05-10,1.111200
2007-05-11,1.112200
2007-05-14,1.107000
2007-05-15,1.098800
2007-05-16,1.103900
2007-05-17,1.098700
2007-05-18,1.089500
2007-05-22,1.086000
2007-05-23,1.082100
2007-05-24,1.084700
2007-05-25,1.079400
2007-05-28,1.080300
2007-05-29,1.073500
2007-05-30,1.073900
2007-05-31,1.069600
2007-06-01,1.061300
2007-06-04,1.058400
2007-06-05,1.063000
2007-06-06,1.058000
2007-06-07,1.063600
2007-06-08,1.060200
2007-06-11,1.060600
2007-06-12,1.066800
2007-06-13,1.066500
2007-06-14,1.068700
2007-06-15,1.068300
2007-06-18,1.071600
2007-06-19,1.063100
2007-06-20,1.067000
2007-06-21,1.074700
2007-06-22,1.069600
2007-06-25,1.070600
2007-06-26,1.069600
2007-06-27,1.070200
2007-06-28,1.059400
2007-06-29,1.065400
2007-07-03,1.060500
2007-07-04,1.058600
2007-07-05,1.056700
2007-07-06,1.049000
2007-07-09,1.049600
2007-07-10,1.051500
2007-07-11,1.053800
2007-07-12,1.045500
2007-07-13,1.048500
2007-07-16,1.042800
2007-07-17,1.043400
2007-07-18,1.044600
2007-07-19,1.043700
2007-07-20,1.048500
2007-07-23,1.047000
2007-07-24,1.037800
2007-07-25,1.040700
2007-07-26,1.053600
2007-07-27,1.061800
2007-07-30,1.068400
2007-07-31,1.066800
2007-08-01,1.057500
2007-08-02,1.053400
2007-08-03,1.054500
2007-08-07,1.053500
2007-08-08,1.048700
2007-08-09,1.056500
2007-08-10,1.053500
2007-08-13,1.053200
2007-08-14,1.066700
2007-08-15,1.077800
2007-08-16,1.075300
2007-08-17,1.061400
2007-08-20,1.054100
2007-08-21,1.063600
2007-08-22,1.063600
2007-08-23,1.055300
2007-08-24,1.052000
2007-08-27,1.054300
2007-08-28,1.065100
2007-08-29,1.060500
2007-08-30,1.058600
2007-08-31,1.056200
2007-09-04,1.049400
2007-09-05,1.053500
2007-09-06,1.052500
2007-09-07,1.054500
2007-09-10,1.052500
2007-09-11,1.041800
2007-09-12,1.036100
2007-09-13,1.032700
2007-09-14,1.030500
2007-09-17,1.028000
2007-09-18,1.013800
2007-09-19,1.015200
2007-09-20,1.001300
2007-09-21,1.000900
2007-09-24,1.001700
2007-09-25,1.003600
2007-09-26,1.004200
2007-09-27,1.001400
2007-09-28,0.994800
2007-10-01,0.991400
2007-10-02,0.997600
2007-10-03,0.998400
2007-10-04,0.997400
2007-10-05,0.981800
2007-10-09,0.982500
2007-10-10,0.980200
2007-10-11,0.976300
2007-10-12,0.973100
2007-10-15,0.976400
2007-10-16,0.980000
2007-10-17,0.975600
2007-10-18,0.973700
2007-10-19,0.965700
2007-10-22,0.980400
2007-10-23,0.966100
2007-10-24,0.969100
2007-10-25,0.965900
2007-10-26,0.962200
2007-10-29,0.952700
2007-10-30,0.953100
2007-10-31,0.944700
2007-11-01,0.951300
2007-11-02,0.934200
2007-11-05,0.933000
2007-11-06,0.921500
2007-11-07,0.928100
2007-11-08,0.936000
2007-11-09,0.942800
2007-11-13,0.959100
2007-11-14,0.966400
2007-11-15,0.985100
2007-11-16,0.973800
2007-11-19,0.984700
2007-11-20,0.980700
2007-11-21,0.987700
2007-11-22,0.984500
2007-11-23,0.989600
2007-11-26,0.991200
2007-11-27,0.995000
2007-11-28,0.986100
2007-11-29,0.997200
2007-11-30,1.000000
2007-12-03,1.000200
2007-12-04,1.012400
2007-12-05,1.015300
2007-12-06,1.009200
2007-12-07,1.005100
2007-12-10,1.005900
2007-12-11,1.014400
2007-12-12,1.013200
2007-12-13,1.020100
2007-12-14,1.017000
2007-12-17,1.005700
2007-12-18,1.005500
2007-12-19,1.003300
2007-12-20,0.999900
2007-12-21,0.992700
2007-12-24,0.985000
2007-12-27,0.982600
2007-12-28,0.980500
2007-12-31,0.991300
2008-01-02,0.992800
2008-01-03,0.990900
2008-01-04,1.001300
2008-01-07,1.005600
2008-01-08,1.004400
2008-01-09,1.009800
2008-01-10,1.007400
2008-01-11,1.019700
2008-01-14,1.018100
2008-01-15,1.016600
2008-01-16,1.024600
2008-01-17,1.029800
2008-01-18,1.027400
2008-01-21,1.032900
2008-01-22,1.028100
2008-01-23,1.023600
2008-01-24,1.006100
2008-01-25,1.007000
2008-01-28,1.004400
2008-01-29,0.999500
2008-01-30,0.993200
2008-01-31,1.003800
2008-02-01,0.994000
2008-02-04,0.993300
2008-02-05,1.007200
2008-02-06,1.006100
2008-02-07,1.010800
2008-02-08,0.999800
2008-02-11,1.001500
2008-02-12,1.001000
2008-02-13,0.997000
2008-02-14,1.000200
2008-02-15,1.007500
2008-02-18,1.007700
2008-02-19,1.017100
2008-02-20,1.013000
2008-02-21,1.011300
2008-02-22,1.012000
2008-02-25,0.995200
2008-02-26,0.982400
2008-02-27,0.980700
2008-02-28,0.976500
2008-02-29,0.984400
2008-03-03,0.988300
2008-03-04,0.995100
2008-03-05,0.985900
2008-03-06,0.987000
2008-03-07,0.989600
2008-03-10,0.996700
2008-03-11,0.993300
2008-03-12,0.990200
2008-03-13,0.985600
2008-03-14,0.986200
2008-03-17,0.999300
2008-03-18,0.993200
2008-03-19,1.015300
2008-03-20,1.023400
2008-03-24,1.017900
2008-03-25,1.017300
2008-03-26,1.018800
2008-03-27,1.018400
2008-03-28,1.021500
2008-03-31,1.026500
2008-04-01,1.021700
2008-04-02,1.013600
2008-04-03,1.004400
2008-04-04,1.009300
2008-04-07,1.013300
2008-04-08,1.014000
2008-04-09,1.019000
2008-04-10,1.018800
2008-04-11,1.023400
2008-04-14,1.019600
2008-04-15,1.019100
2008-04-16,1.001400
2008-04-17,1.012200
2008-04-18,1.004900
2008-04-21,1.006000
2008-04-22,1.008000
2008-04-23,1.017300
2008-04-24,1.014200
2008-04-25,1.016300
2008-04-28,1.012700
2008-04-29,1.011900
2008-04-30,1.007200
2008-05-01,1.019300
2008-05-02,1.019300
2008-05-05,1.013500
2008-05-06,1.002900
2008-05-07,1.007000
2008-05-08,1.017100
2008-05-09,1.005600
2008-05-12,1.004400
2008-05-13,1.002800
2008-05-14,1.004300
2008-05-15,1.000000
2008-05-16,0.999800
2008-05-20,0.991800
2008-05-21,0.984100
2008-05-22,0.985900
2008-05-23,0.988200
2008-05-26,0.992000
2008-05-27,0.993300
2008-05-28,0.989900
2008-05-29,0.989100
2008-05-30,0.993000
2008-06-02,1.001200
2008-06-03,1.008600
2008-06-04,1.018300
2008-06-05,1.017800
2008-06-06,1.019300
2008-06-09,1.021600
2008-06-10,1.022400
2008-06-11,1.020000
2008-06-12,1.023200
2008-06-13,1.029200
2008-06-16,1.022500
2008-06-17,1.017100
2008-06-18,1.018100
2008-06-19,1.015200
2008-06-20,1.017000
2008-06-23,1.015800
2008-06-24,1.011500
2008-06-25,1.010700
2008-06-26,1.013100
2008-06-27,1.010600
2008-06-30,1.019700
2008-07-02,1.013400
2008-07-03,1.018800
2008-07-04,1.020000
2008-07-07,1.018900
2008-07-08,1.019100
2008-07-09,1.011100
2008-07-10,1.009100
2008-07-11,1.009400
2008-07-14,1.005200
2008-07-15,1.002300
2008-07-16,1.002200
2008-07-17,1.006800
2008-07-18,1.005700
2008-07-21,1.001400
