# "PACIFIC Exchange Rate Service"
# "Jul.Day","YYYY/MM/DD","Wdy","CAD/USD"
2457757,"2017/01/03","Tue",1.3438
2457758,"2017/01/04","Wed",1.3293
2457759,"2017/01/05","Thu",1.3216
2457760,"2017/01/06","Fri",1.3216
2457763,"2017/01/09","Mon",1.3222
2457764,"2017/01/10","Tue",1.3208
2457765,"2017/01/11","Wed",1.3232
2457766,"2017/01/12","Thu",1.3130
2457767,"2017/01/13","Fri",1.3135
2457770,"2017/01/16","Mon",1.3163
2457771,"2017/01/17","Tue",1.3060
2457772,"2017/01/18","Wed",1.3177
2457773,"2017/01/19","Thu",1.3329
2457774,"2017/01/20","Fri",1.3339
2457777,"2017/01/23","Mon",1.3289
2457778,"2017/01/24","Tue",1.3152
2457779,"2017/01/25","Wed",1.3075
2457780,"2017/01/26","Thu",1.3104
2457781,"2017/01/27","Fri",1.3108
2457784,"2017/01/30","Mon",1.3093
2457785,"2017/01/31","Tue",1.3030
2457786,"2017/02/01","Wed",1.3089
2457787,"2017/02/02","Thu",1.3019
2457788,"2017/02/03","Fri",1.3004
2457791,"2017/02/06","Mon",1.3117
2457792,"2017/02/07","Tue",1.3167
2457793,"2017/02/08","Wed",1.3157
2457794,"2017/02/09","Thu",1.3141
2457795,"2017/02/10","Fri",1.3074
2457798,"2017/02/13","Mon",1.3071
2457799,"2017/02/14","Tue",1.3093
2457800,"2017/02/15","Wed",1.3084
2457801,"2017/02/16","Thu",1.3058
2457802,"2017/02/17","Fri",1.3116
2457806,"2017/02/21","Tue",1.3149
2457807,"2017/02/22","Wed",1.3187
2457808,"2017/02/23","Thu",1.3109
2457809,"2017/02/24","Fri",1.3104
2457812,"2017/02/27","Mon",1.3101
2457813,"2017/02/28","Tue",1.3248
2457814,"2017/03/01","Wed",1.3346
2457815,"2017/03/02","Thu",1.3384
2457816,"2017/03/03","Fri",1.3419
2457819,"2017/03/06","Mon",1.3410
2457820,"2017/03/07","Tue",1.3413
2457821,"2017/03/08","Wed",1.3481
2457822,"2017/03/09","Thu",1.3505
2457823,"2017/03/10","Fri",1.3469
2457826,"2017/03/13","Mon",1.3453
2457827,"2017/03/14","Tue",1.3463
2457828,"2017/03/15","Wed",1.3451
2457829,"2017/03/16","Thu",1.3316
2457830,"2017/03/17","Fri",1.3369
2457833,"2017/03/20","Mon",1.3357
2457834,"2017/03/21","Tue",1.3320
2457835,"2017/03/22","Wed",1.3347
2457836,"2017/03/23","Thu",1.3333
2457837,"2017/03/24","Fri",1.3373
2457840,"2017/03/27","Mon",1.3368
2457841,"2017/03/28","Tue",1.3363
2457842,"2017/03/29","Wed",1.3372
2457843,"2017/03/30","Thu",1.3279
2457844,"2017/03/31","Fri",1.3322
2457847,"2017/04/03","Mon",1.3389
2457848,"2017/04/04","Tue",1.3415
2457849,"2017/04/05","Wed",1.3411
2457850,"2017/04/06","Thu",1.3409
2457851,"2017/04/07","Fri",1.3397
2457854,"2017/04/10","Mon",1.3347
2457855,"2017/04/11","Tue",1.3335
2457856,"2017/04/12","Wed",1.3302
2457857,"2017/04/13","Thu",1.3265
2457861,"2017/04/17","Mon",1.3277
2457862,"2017/04/18","Tue",1.3381
2457863,"2017/04/19","Wed",1.3469
2457864,"2017/04/20","Thu",1.3480
2457865,"2017/04/21","Fri",1.3503
2457868,"2017/04/24","Mon",1.3516
2457869,"2017/04/25","Tue",1.3615
2457870,"2017/04/26","Wed",1.3592
2457871,"2017/04/27","Thu",1.3667
2457872,"2017/04/28","Fri",1.3665
2457875,"2017/05/01","Mon",1.3660
2457876,"2017/05/02","Tue",1.3720
2457877,"2017/05/03","Wed",1.3714
2457878,"2017/05/04","Thu",1.3743
2457879,"2017/05/05","Fri",1.3712
2457882,"2017/05/08","Mon",1.3705
2457883,"2017/05/09","Tue",1.3728
2457884,"2017/05/10","Wed",1.3672
2457885,"2017/05/11","Thu",1.3707
2457886,"2017/05/12","Fri",1.3714
2457889,"2017/05/15","Mon",1.3641
2457890,"2017/05/16","Tue",1.3596
2457891,"2017/05/17","Wed",1.3614
2457892,"2017/05/18","Thu",1.3611
2457893,"2017/05/19","Fri",1.3544
2457897,"2017/05/23","Tue",1.3490
2457898,"2017/05/24","Wed",1.3460
2457899,"2017/05/25","Thu",1.3453
2457900,"2017/05/26","Fri",1.3456
2457903,"2017/05/29","Mon",1.3446
2457904,"2017/05/30","Tue",1.3469
2457905,"2017/05/31","Wed",1.3500
2457906,"2017/06/01","Thu",1.3500
2457907,"2017/06/02","Fri",1.3504
2457910,"2017/06/05","Mon",1.3483
2457911,"2017/06/06","Tue",1.3461
2457912,"2017/06/07","Wed",1.3492
2457913,"2017/06/08","Thu",1.3503
2457914,"2017/06/09","Fri",1.3453
2457917,"2017/06/12","Mon",1.3415
2457918,"2017/06/13","Tue",1.3238
2457919,"2017/06/14","Wed",1.3209
2457920,"2017/06/15","Thu",1.3283
2457921,"2017/06/16","Fri",1.3232
2457924,"2017/06/19","Mon",1.3220
2457925,"2017/06/20","Tue",1.3267
2457926,"2017/06/21","Wed",1.3310
2457927,"2017/06/22","Thu",1.3241
2457928,"2017/06/23","Fri",1.3268
