"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Legacy Closing Rates"

"DESCRIPTION"
"The legacy exchange rates were last updated 28 April 2017 and will not be updated in future. Exchange rates are expressed as 1 unit of the foreign currency converted into Canadian dollars. All Bank of Canada exchange rates are indicative rates only."

"LINK"
"https://www.bankofcanada.ca/?p=190915"

"SERIES"
"id","label","description"
"IEXE1601.CL","AUD_CLOSE","Australian dollar (close)"
"IEXE0301.CL","DKK_CLOSE","Danish krone (close)"
"EUROCAE01.CL","EUR_CLOSE","European Euro (close)"
"IEXE1401.CL","HKD_CLOSE","Hong Kong dollar (close)"
"IEXE0701.CL","JPY_CLOSE","Japanese yen (close)"
"IEXE2001.CL","MXN_CLOSE","Mexican peso (close)"
"IEXE1901.CL","NZD_CLOSE","New Zealand dollar (close)"
"IEXE0901.CL","NOK_CLOSE","Norwegian krone (close)"
"IEXE1001.CL","SEK_CLOSE","Swedish krona (close)"
"IEXE1101.CL","CHF_CLOSE","Swiss franc (close)"
"IEXE1201.CL","GBP_CLOSE","U.K. pound sterling (close)"
"IEXE0102","USD_CLOSE","U.S. dollar (close)"
"IEXE0103","USD_HIGH","U.S. dollar (high)"
"IEXE0104","USD_LOW","U.S. dollar (low)"
"IEXE0106","USD_CLOSE_90_DAY","U.S. dollar closing,90-day"

"OBSERVATIONS"
"date","IEXE1601.CL","IEXE0301.CL","EUROCAE01.CL","IEXE1401.CL","IEXE0701.CL","IEXE2001.CL","IEXE1901.CL","IEXE0901.CL","IEXE1001.CL","IEXE1101.CL","IEXE1201.CL","IEXE0102","IEXE0103","IEXE0104","IEXE0106"
"2007-05-01","0.92","0.20","1.51","0.141970","0.009271","0.10","0.82","0.1860","0.17","0.91","2.2199","1.1105","1.1116","1.1048","1.1075"
"2007-05-02","0.91","0.20","1.51","0.141740","0.009232","0.10","0.82","0.1854","0.17","0.91","2.2055","1.1087","1.1115","1.1066","1.1057"
"2007-05-03","0.91","0.20","1.50","0.141496","0.009190","0.10","0.81","0.1847","0.16","0.91","2.1999","1.1066","1.1086","1.1054","1.1036"
"2007-05-04","0.91","0.20","1.51","0.141616","0.009218","0.10","0.81","0.1854","0.16","0.91","2.2075","1.1075","1.1077","1.1032","1.1046"
"2007-05-07","0.91","0.20","1.50","0.140908","0.009177","0.10","0.81","0.1843","0.16","0.91","2.1957","1.1018","1.1042","1.1007","1.0988"
"2007-05-08","0.92","0.20","1.50","0.141289","0.009210","0.10","0.81","0.1839","0.16","0.91","2.1976","1.1047","1.1060","1.1021","1.1017"
"2007-05-09","0.92","0.20","1.50","0.141358","0.009207","0.10","0.81","0.1838","0.16","0.91","2.2038","1.1055","1.1080","1.1044","1.1025"
"2007-05-10","0.92","0.20","1.50","0.142064","0.009272","0.10","0.81","0.1833","0.16","0.91","2.1997","1.1112","1.1130","1.1053","1.1082"
"2007-05-11","0.92","0.20","1.50","0.142221","0.009259","0.10","0.82","0.1843","0.16","0.91","2.2041","1.1122","1.1163","1.1120","1.1092"
"2007-05-14","0.92","0.20","1.50","0.141692","0.009198","0.10","0.82","0.1830","0.16","0.91","2.1903","1.1070","1.1083","1.1061","1.1040"
"2007-05-15","0.92","0.20","1.49","0.140622","0.009137","0.10","0.81","0.1827","0.16","0.90","2.1812","1.0988","1.1039","1.0965","1.0958"
"2007-05-16","0.91","0.20","1.49","0.141187","0.009139","0.10","0.81","0.1824","0.16","0.90","2.1820","1.1039","1.1063","1.0997","1.1010"
"2007-05-17","0.91","0.20","1.48","0.140489","0.009054","0.10","0.80","0.1814","0.16","0.89","2.1692","1.0987","1.1015","1.0969","1.0957"
"2007-05-18","0.90","0.20","1.47","0.139353","0.008999","0.10","0.80","0.1803","0.16","0.89","2.1519","1.0895","1.0963","1.0877","1.0867"
"2007-05-22","0.89","0.20","1.46","0.138805","0.008933","0.10","0.79","0.1796","0.16","0.88","2.1450","1.0860","1.0870","1.0835","1.0832"
"2007-05-23","0.89","0.20","1.46","0.138309","0.008897","0.10","0.79","0.1796","0.16","0.88","2.1494","1.0821","1.0846","1.0814","1.0793"
"2007-05-24","0.89","0.20","1.46","0.138661","0.008939","0.10","0.79","0.1796","0.16","0.88","2.1536","1.0847","1.0854","1.0804","1.0819"
"2007-05-25","0.88","0.19","1.45","0.137980","0.008868","0.10","0.78","0.1793","0.16","0.88","2.1420","1.0794","1.0855","1.0776","1.0766"
"2007-05-28","0.89","0.19","1.45","0.138146","0.008877","0.10","0.79","0.1796","0.16","0.88","2.1430","1.0803","1.0810","1.0795","1.0775"
"2007-05-29","0.88","0.19","1.44","0.137274","0.008823","0.10","0.78","0.1780","0.16","0.88","2.1260","1.0735","1.0837","1.0711","1.0709"
"2007-05-30","0.88","0.19","1.44","0.137566","0.008826","0.10","0.78","0.1769","0.15","0.88","2.1213","1.0739","1.0760","1.0715","1.0713"
"2007-05-31","0.89","0.19","1.44","0.136980","0.008788","0.10","0.79","0.1773","0.15","0.87","2.1179","1.0696","1.0710","1.0666","1.0669"
"2007-06-01","0.88","0.19","1.43","0.135867","0.008696","0.10","0.79","0.1761","0.15","0.86","2.1039","1.0613","1.0682","1.0598","1.0587"
